series_id,date,real,nominal
DJIA,1915-01-01,1448.10,56.540
DJIA,1915-02-01,1423.26,55.020
DJIA,1915-03-01,1589.43,60.830
DJIA,1915-04-01,1856.81,71.780
DJIA,1915-05-01,1665.04,65.010
DJIA,1915-06-01,1794.38,70.060
DJIA,1915-07-01,1934.47,75.530
DJIA,1915-08-01,2079.69,81.200
DJIA,1915-09-01,2319.93,90.580
DJIA,1915-10-01,2417.92,95.340
DJIA,1915-11-01,2428.77,96.710
DJIA,1915-12-01,2490.05,99.150
DJIA,1916-01-01,2253.00,90.580
DJIA,1916-02-01,2264.19,91.030
DJIA,1916-03-01,2297.31,93.250
DJIA,1916-04-01,2187.82,89.650
DJIA,1916-05-01,2219.36,91.800
DJIA,1916-06-01,2145.62,89.580
DJIA,1916-07-01,2137.72,89.250
DJIA,1916-08-01,2189.28,92.250
DJIA,1916-09-01,2417.32,103.730
DJIA,1916-10-01,2394.73,104.610
DJIA,1916-11-01,2383.69,105.970
DJIA,1916-12-01,2118.50,95.000
DJIA,1917-01-01,2109.86,95.430
DJIA,1917-02-01,1973.76,91.560
DJIA,1917-03-01,2084.99,96.720
DJIA,1917-04-01,1914.01,93.230
DJIA,1917-05-01,1967.95,97.380
DJIA,1917-06-01,1897.87,95.380
DJIA,1917-07-01,1854.18,91.750
DJIA,1917-08-01,1659.49,83.400
DJIA,1917-09-01,1623.21,83.460
DJIA,1917-10-01,1427.49,74.500
DJIA,1917-11-01,1392.05,72.650
DJIA,1917-12-01,1404.44,74.380
DJIA,1918-01-01,1474.46,79.800
DJIA,1918-02-01,1474.83,80.390
DJIA,1918-03-01,1411.83,76.410
DJIA,1918-04-01,1412.00,77.510
DJIA,1918-05-01,1392.95,78.080
DJIA,1918-06-01,1453.16,82.580
DJIA,1918-07-01,1391.55,81.230
DJIA,1918-08-01,1385.08,82.460
DJIA,1918-09-01,1395.19,84.680
DJIA,1918-10-01,1382.44,85.510
DJIA,1918-11-01,1284.36,80.930
DJIA,1918-12-01,1288.65,82.200
DJIA,1919-01-01,1263.72,80.610
DJIA,1919-02-01,1354.25,84.810
DJIA,1919-03-01,1401.43,88.850
DJIA,1919-04-01,1438.71,92.880
DJIA,1919-05-01,1614.78,105.500
DJIA,1919-06-01,1637.44,106.980
