series_id,date,real,nominal
SP500,1927-12-01,264.05,17.660
SP500,1928-01-01,262.71,17.570
SP500,1928-02-01,261.09,17.260
SP500,1928-03-01,291.65,19.280
SP500,1928-04-01,298.76,19.750
SP500,1928-05-01,300.78,20.000
SP500,1928-06-01,289.53,19.140
SP500,1928-07-01,293.92,19.430
SP500,1928-08-01,315.70,20.870
SP500,1928-09-01,316.09,21.140
SP500,1928-10-01,326.05,21.680
SP500,1928-11-01,365.15,24.280
SP500,1928-12-01,368.34,24.350
SP500,1929-01-01,389.37,25.740
SP500,1929-02-01,387.10,25.590
SP500,1929-03-01,388.46,25.530
SP500,1929-04-01,397.04,25.940
SP500,1929-05-01,377.81,24.830
SP500,1929-06-01,414.63,27.410
SP500,1929-07-01,431.81,28.880
SP500,1929-08-01,474.13,31.710
SP500,1929-09-01,450.95,30.160
SP500,1929-10-01,361.09,24.150
SP500,1929-11-01,312.80,20.920
SP500,1929-12-01,322.59,21.450
SP500,1930-01-01,344.74,22.790
SP500,1930-02-01,354.23,23.280
SP500,1930-03-01,369.64,24.150
SP500,1930-04-01,378.88,24.900
SP500,1930-05-01,374.84,24.490
SP500,1930-06-01,315.04,20.460
SP500,1930-07-01,330.52,21.210
SP500,1930-08-01,335.02,21.370
SP500,1930-09-01,289.69,18.590
SP500,1930-10-01,265.57,16.940
SP500,1930-11-01,261.36,16.570
SP500,1930-12-01,246.47,15.340
SP500,1931-01-01,261.77,16.090
SP500,1931-02-01,295.41,17.930
SP500,1931-03-01,276.75,16.690
SP500,1931-04-01,251.84,15.090
SP500,1931-05-01,220.13,13.020
SP500,1931-06-01,254.05,14.830
SP500,1931-07-01,235.21,13.730
SP500,1931-08-01,237.44,13.860
SP500,1931-09-01,167.45,9.710
SP500,1931-10-01,182.81,10.530
SP500,1931-11-01,167.17,9.500
SP500,1931-12-01,143.87,8.120
SP500,1932-01-01,142.72,7.890
SP500,1932-02-01,152.09,8.290
SP500,1932-03-01,135.07,7.310
SP500,1932-04-01,108.50,5.830
SP500,1932-05-01,84.40,4.470
SP500,1932-06-01,84.26,4.430
SP500,1932-07-01,116.02,6.100
SP500,1932-08-01,160.76,8.390
SP500,1932-09-01,155.98,8.080
SP500,1932-10-01,135.37,6.960
SP500,1932-11-01,128.36,6.550
SP500,1932-12-01,136.05,6.890
SP500,1933-01-01,139.17,6.940
SP500,1933-02-01,115.28,5.660
SP500,1933-03-01,120.10,5.850
SP500,1933-04-01,170.81,8.320
SP500,1933-05-01,197.91,9.640
SP500,1933-06-01,222.21,10.910
SP500,1933-07-01,196.47,9.950
SP500,1933-08-01,217.33,11.090
SP500,1933-09-01,192.64,9.830
SP500,1933-10-01,175.59,8.960
SP500,1933-11-01,193.62,9.880
SP500,1933-12-01,197.93,10.100
SP500,1934-01-01,218.90,11.170
SP500,1934-02-01,209.27,10.760
SP500,1934-03-01,209.08,10.750
SP500,1934-04-01,203.44,10.460
SP500,1934-05-01,186.90,9.610
SP500,1934-06-01,189.37,9.810
SP500,1934-07-01,167.56,8.680
SP500,1934-08-01,176.63,9.150
SP500,1934-09-01,173.08,9.100
SP500,1934-10-01,168.81,8.810
SP500,1934-11-01,182.80,9.540
SP500,1934-12-01,183.39,9.500
SP500,1935-01-01,173.08,9.100
SP500,1935-02-01,165.03,8.740
SP500,1935-03-01,159.93,8.470
SP500,1935-04-01,173.95,9.280
SP500,1935-05-01,179.58,9.580
SP500,1935-06-01,193.16,10.230
SP500,1935-07-01,209.21,11.080
